id,clean_customer,clean_agent,verified_intent,expected_escalation,escalation_reason
1,"Desktop app on Mac isn't working. Freezes up, won't let me search, after a few minutes of music. Constantly having to close and re-open it.","Hi there. Can you let us know what device, OS X, and Spotify versions you're running? We'll see what we can suggest /LM",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
2,"Unfortunately I’m no longer at my work computer, but it was stuck at 0:00 for the videos and a blank screen where the videos should’ve been. If I skipped to the next non-video song it would resume as if nothing happened",Hmm. Could you DM us your account's email address? We'll take a look under the hood /KB,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
3,It helps is the uninstaller doesn't crash. That happens any time I try to uninstall the program. I had to use a third party program.,Could you send us your account's email address or username via DM? We'd like to check further /RK,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
4,"whenever I’m on twitter and open a GIF, the music pauses. I’m on the iOS 11.2 public beta.","Hey there, help's here! Does logging out > restarting the device > logging back in help? Keep us posted /AL",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
5,This is happening on desktop. And on mobile it seems to be picking the same few artists again and again. Every time I press shuffle it's the same few artists.,"Thanks for letting us know. Is this happening when you're playing tracks in your playlists, Your Library, or both? We'll see what we can suggest 🙂 /PX",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
6,"I have found the bug, What happens is when the playlist are downloading avast scans the files coming in and makes it cache in ram. Then you need to end task spotify and restart the software then its deleted the files stuck in ram. So its a communication error with other software",Thanks for all the info! Could you send us your OS and Avast version numbers? We'll report this on to the right folks for you /BH,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
7,"Yo! I put on dinner music as a joke at the office, and now it's stuck on dinner music. Please help!","Hey Quoc, that's not cool! Does logging out > restarting the device > logging back in help? Keep us posted /JK",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
8,"Hi, yes it freezes my computer so i have to reboot it. I cant run the app on my laptop at all. Do i need to reinstall it again?","Hmm. Let's narrow down the possible cause first. Are you getting any error messages? If so, can you send us a screenshot? /PB",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
9,"Well currently it just doesn't recognize Spotify as music, like even when I swipe up on my locked iPhone I can't pause or skip music.",Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
10,i am on a family plan but i still gets ads on android mobile app and can only shuffle play. solutions?,"Hey Sean, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MX",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
11,My android app crashes every time I try to share a song. I've cleared the data and re-logged in but it still happens.,"Hey Ian, that doesn't sound good! Can you send us your email address or username via DM? We'll check under the hood /HC",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
12,your mac app keeps crashing my mac! HELP!!!!,That's not cool! Can you let us know your Mac's operating system and the Spotify version you're running? We'll see what we can suggest /LO,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
13,and i have to restart the whole app then i press shuffle play it said you need premium to play the music,Thanks for all the info. Could you give these steps a try: Let us know if that makes any difference /NJ,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
14,"I will try that, I think it's got 'stuck' on an audio advert but the ad isn't playing & main play button greyed out so can't even play ad!","Hmm, that's odd! Keep us posted. We'll be waiting /MX",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
15,Fix the comments not appearing on the lossless audio idea. Tried it on multiple browsers. The last few pages on comments don't appear..,"Hey, that's not cool! Could you try using an incognito window to search the Community and see if the pages appear? Let us know how it goes /JZ",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
16,"Every time I click shuffle it just plays the songs on the ""this is"" 😕 am I doing something wrong?","That's odd. Just to check, is this happening on all of the artist pages you're trying to listen to? /CX",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
17,Ahh yes shuffle works but not individual tracks,2: There's more info here: Hope this helps /MU,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
18,Hi! I'm having issues with my spotify where it pauses randomly saying its being used elsewhere. Thanks ^^,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
19,"Uninstalled, rebooted, reinstalled and now it appears stable. I can switch between artists (and have done many many times now) and its not crashed yet. So - sorted! Thanks.","Great! Glad to hear it's working again. If you ever need us again, just shout 🙂 /K",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
20,Hello & - when will we get the playlist folder shuffle back to iOS version?,We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /DF,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
21,"I just dumped the whole thing. I'd expect its your job to figure this out, isn't it. I'd expect some auto-updater left over garbage coupled with audio cache. But who knows",Hmm. Can you fire over the Windows and Spotify version you're currently using? We'll see what we can suggest /KB,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
