id,customer_message,true_intent,pred_intent,intent_confidence,true_escalation,pred_escalation,escalation_reason,draft_reply,top_match_sim,top_match_text,judge_correctness,judge_groundedness,judge_voice,judge_avg,judge_verdict
1,"Desktop app on Mac isn't working. Freezes up, won't let me search, after a few minutes of music. Constantly having to close and re-open it.",PLAYBACK_CRASH,PLAYBACK_CRASH,0.8221,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 82.2% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.2462,Hey ! My desktop app won't let me play a new song when I click on it - it just pauses/plays the one I'm currently listening to. Any fix for this?,5,4,5,4.67,PASS
2,"Unfortunately I’m no longer at my work computer, but it was stuck at 0:00 for the videos and a blank screen where the videos should’ve been. If I skipped to the next non-video song it would resume as if nothing happened",PLAYBACK_CRASH,PLAYBACK_CRASH,0.695,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 69.5% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.248,"It’s stuck at the point where the sponsor’s video plays, but the video won’t load. I now cannot get out of that screen.",5,4,5,4.67,PASS
3,It helps is the uninstaller doesn't crash. That happens any time I try to uninstall the program. I had to use a third party program.,PLAYBACK_CRASH,PLAYBACK_CRASH,0.4874,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 48.7% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.2331,Hi. No it didn’t crash. It happens every time I get 30 minutes ad free music. After a couple of minutes a commercial starts.,5,4,5,4.67,PASS
4,"whenever I’m on twitter and open a GIF, the music pauses. I’m on the iOS 11.2 public beta.",PLAYBACK_CRASH,PLAYBACK_CRASH,0.7674,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 76.7% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3592,"iPhone 7+ ios 11. Spotify pauses music whenever I get a notification, like from Snapchat. Also, it constantly pauses my music hand em ever I listen on Bluetooth. Never had the issue.",5,5,5,5.0,PASS
5,This is happening on desktop. And on mobile it seems to be picking the same few artists again and again. Every time I press shuffle it's the same few artists.,PLAYBACK_CRASH,CATALOG_CONTENT,0.5679,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 56.8% confidence.,"Music availability can vary over time due to licensing agreements with rights holders. If an album is greyed out, it may temporarily be unavailable in your region.",0.364,"It's happening all the time since weeks, always these ""blocks"" of artists.",1,5,5,3.67,PASS
6,"I have found the bug, What happens is when the playlist are downloading avast scans the files coming in and makes it cache in ram. Then you need to end task spotify and restart the software then its deleted the files stuck in ram. So its a communication error with other software",PLAYBACK_CRASH,PLAYLIST_LIBRARY,0.6341,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 63.4% confidence.,You can recover deleted playlists within 90 days by logging into your account page at spotify.com/account and selecting 'Recover playlists'.,0.2793,I need help reducing RAM on my Spotify app. Up to 2gb now and don't have many playlists or saved songs.,1,4,5,3.33,FAIL
7,"Yo! I put on dinner music as a joke at the office, and now it's stuck on dinner music. Please help!",PLAYBACK_CRASH,PLAYBACK_CRASH,0.9385,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 93.8% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3755,"Hey , my account has been stuck on an Indeed ad for days and won't let me play music. Can you help?",5,5,5,5.0,PASS
8,"Hi, yes it freezes my computer so i have to reboot it. I cant run the app on my laptop at all. Do i need to reinstall it again?",PLAYBACK_CRASH,PLAYBACK_CRASH,0.665,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 66.5% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3433,"Each time the screen just freezes, and I restart my computer. Sometimes it works after I restart, but sometimes it freezes again.",5,4,5,4.67,PASS
9,"Well currently it just doesn't recognize Spotify as music, like even when I swipe up on my locked iPhone I can't pause or skip music.",PLAYBACK_CRASH,PLAYBACK_CRASH,0.7196,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 72.0% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3566,"Also, if I press the button of the EarPods to play/pause, Apple Music native app starts playing. It looks like iOS doesn’t recognize Spotify",5,5,5,5.0,PASS
10,i am on a family plan but i still gets ads on android mobile app and can only shuffle play. solutions?,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9818,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 98.2% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3486,When I go to the A$AP Rocky Spotify page and click “shuffle play” it only plays A$AP Ferg songs on the mobile version,5,4,5,4.67,PASS
